课程名称,课程ID,课程学分,结业条件
思维转型：从产品走向价值的四大驱动,LTC022601,1,课程评估
模式转型：用资本的思维重构商业模式,LTC022602,0.5,课程评估
目标转型：不仅用户认可还要资本认可,LTC022603,1.5,课程评估
经营转型：不仅经营产品还要经营价值,LTC022604,1.5,课程评估
亲身案例：两年里企业市值从22亿增值到220亿,LTC022605,2,课程评估
透视商业模式致胜的关键法则,LTC022401,1,课后测试
互联网商业模式构建的九大画布,LTC022402,2,课后测试
互联网商业模式背后的秘密,LTC022403,2.5,课后测试
互联网商业模式打造16字诀,LTC022404,1,课后测试
畅销品战略构建的必备法则,LTC022501,2,课后测试
引领力法则——如何用营销引爆品牌,LTC022502,1,课后测试
需求力法则——如何挖掘用户痛点,LTC022503,1,课后测试
专业力法则——如何构建极致产品,LTC022504,0.5,课后测试
自销力法则——如何让产品会说话,LTC022505,1,课后测试
自传力法则——如何让产品自传播,LTC022506,1,课后测试
复杂性阶梯的群体智慧与涌现,LTC022301,1,课后测试
复杂性阶梯的开放、流动与网络,LTC022302,1,课后测试
复杂性阶梯的进化与层级,LTC022303,1,课后测试
复杂性思维的人工智能社会,LTC022304,1,课后测试
经理人的B角：如何做好上级的代理人,LTC011302,2.5,课后测试
经理人的角色定位原来这么难,LTC011301,2,课后测试
管理者的自我认知,LTC051401,0.5,课后测试
六节课，让你全面提升管理素养,LTC051402,1.5,课后测试
企业文化建设与落地：正确认识企业文化,LTC030701,1,课后测试
企业文化建设与落地：有效塑造企业文化,LTC030702,1,课后测试
企业文化建设与落地：确保企业文化落地,LTC030703,1,课后测试
还在用过去的思维？你的企业可能也会上死亡名单,LTC051301,0.5,课程评估
思维转换，专治你的困惑和迷茫,LTC051302,0.5,课程评估
不只是科学，原来这些都是牛顿世界观,LTC051303,0.2,课程评估
量子思维太复杂？记住四大法则就够了,LTC051304,0.2,课程评估
跳出牛顿思维的盒子，用量子思维释放创造力,LTC051305,0.5,课程评估
谈恋爱不顺？你需要点量子思维,LTC051306,0.2,课程评估
他用量子思维，从普通员工到副总裁用了三个月,LTC051307,0.5,课程评估
四大要点搞清楚什么是畅销品,LTC051308,0.1,课程评估
畅销品总会有，为什么不能由你完成,LTC051309,0.1,课程评估
进化为畅销品的四大规律,LTC051310,0.2,课程评估
如何成为畅销品，你需要知道五力法则,LTC051311,0.2,课程评估
成为行业第一，只需这六步,LTC051312,0.5,课程评估
什么叫销量第一，大多数人理解都错了,LTC051313,0.5,课程评估
什么是口碑好，给你一个落地的答案,LTC051314,0.1,课程评估
做好问答营销，实现口碑好的诀窍,LTC051315,0.1,课程评估
百度知道实战秘籍，如何设计最有效,LTC051316,0.1,课程评估
百度搜索霸屏秘籍，如何占据搜索页面前列,LTC051317,0.2,课程评估
找不到市场痛点？可能你的理解就错了,LTC051318,0.2,课程评估
找到用户痛点的八大方法,LTC051319,0.2,课程评估
不可不知的痛点挖掘原则,LTC051320,0.2,课程评估
练成火眼金睛，分辨真伪需求,LTC051321,0.2,课程评估
强需求需要去创新吗,LTC051322,0.2,课程评估
做让竞争对手活不了的商业模式,LTC051323,0.2,课程评估
造就降维化生存的秘诀——效率,LTC051324,0.2,课程评估
极致专注，会找到你的真爱,LTC051325,0.1,课程评估
自销力法则——高价值如何创造,LTC051326,0.5,课程评估
自销力法则二——颜值即是道理,LTC051327,0.1,课程评估
自销力法则三——让产品会说话,LTC051328,0.2,课程评估
自销力法则四和五——关键时刻与购买指令,LTC051329,0.2,课程评估
为什么未来是湿的？,LTC051330,0.2,课程评估
你用的是男性思维还是女性思维？,LTC051331,0.2,课程评估
自传力法则——好名字等于好广告,LTC051332,0.2,课程评估
自传力法则二——有意思比有意义更重要,LTC051333,0.2,课程评估
自传力法则三——你有传播因子吗,LTC051334,0.2,课程评估
自传力法则四——不可忽视的仪式感,LTC051335,0.5,课程评估
福田汽车战略规划,5318f32b511d4150b6cde7d9d5a54b1d,4,课程评估
分不清战略和商业模式？几分钟给你讲清楚,d3c01212c1e410120a8a4aa01de11699,0.5,课程评估
商业模式出问题？战术上的勤奋也不管用,6bcc5197d4b2162156ad78246f8ffd1e,0.2,课程评估
不是产品和营销，什么才是企业竞争制胜的关键？,57c1807fda594f01028ad8488a13bffe,0.5,课程评估
好的商业模式如何分辨？,d01eb076ed0c1088d584268f08e7d6dc,0.5,课程评估
商业模式太烧脑？你缺少一个画布模型！,4d6faf213a60ebcd28284ecfdef12ab1,0.5,课程评估
客户覆盖越多越好？有效客户细分很关键,7a44925f370b238c9a0c3b3bee7c9399,0.2,课程评估
为什么有的名片看不懂？关键业务设计出问题了,e0f31bf75764d1fe1b704eaeadd1c2e1,0.2,课程评估
收费还是免费？如何让你的价值服务作用发挥最大,77a5ed88ce584f1e4a7f03238f6160c3,0.2,课程评估
如何管好客户关系？客户关系三层次你不可不知,59957809faf33d4a92df14e235f5c8bf,0.2,课程评估
没有伙伴，寸步难行！如何找到重要合作关系,59b11f1082451ed41ba9a795c305d7da,0.2,课程评估
什么让英雄生不逢时？核心资源如何匹配,fad6bc778b9c5418fed7930766d05511,0.2,课程评估
商业模式设计之渠道通路的六大选择,c95f9bb9e62104901249a5c504e14d44,0.2,课程评估
麦当劳买的不是汉堡？ 收入来源如何设计,0c26567eb7b0eeb73df142dd1c6149a2,0.2,课程评估
保护好你的现金流，商业模式设计之投入支出分析,1b3bb0be9feed4d6bd9a14d3711b09e7,0.5,课程评估
何为平台模式的实质，千年前的刘邦早懂了,052e0ab5a302b21045dc2343195619e0,0.5,课程评估
长尾模式如何践行？学学优衣库和ZARA,93a00db299631601c42b02fb698843ca,0.2,课程评估
众包模式难不难？海尔互联网“三化”你学得会,8a3f9a391d494c775b19d63edcd4f596,0.5,课程评估
体验模式的集大成者，三只松鼠与海底捞,397159815a005481620d80bbd46678b6,0.2,课程评估
免费模式如何让我们赚钱,99df522f2db131294c7c636524a04422,0.2,课程评估
O2O模式这样搞才对,52144f159c1d4f1a96d56517fdcab328,0.5,课程评估
罗振宇为何成功？社群型商业模式解码,7fdbd72c82f71cbc898be6e823d4d93f,0.2,课程评估
未来商业模式之争，生态模式大起底,4e2df21e93fdd2d3805995a1bbb0dfa1,0.5,课程评估
同样造生态，为什么小米成了而乐视输了？,56a74ace47c2e382aa819c45b5640a97,0.2,课程评估
从顺丰模式借鉴如何打造产业链,39120789a37b409e0d2706eec67e0f21,0.2,课程评估
专属商业模式打造七步法,1537c9fd1935984a43a38acdb156095f,0.5,课程评估
互联网商业模式打造16字诀,6bbfd239e5a1179a4514d31bca0a376e,0.2,课程评估
落实这三大需求，才算落实用户至上,99d83114a56aecea4de0aec607e31458,0.2,课程评估
做不得这三点，体验为王只是空谈,9ab063c31239c6a2ba0556e24fee7939,0.2,课程评估
唱吧和小米共同的秘密——单点极致,e84ff11adf1857b71085dc9ff0b84152,0.2,课程评估
永远领先半步的秘诀——迭代创新,9f3ac4dee44d38fbc195ecbaca8003f9,0.1,课程评估
领导者助推战略落地的三大修炼,43e7970a3fee2165097b67d1160b4739,1.5,课程评估
团队难题怎么破，专家告诉你真相,9f4ac1ac369cf1910f8e8bf09a1f3103,2.5,课程评估
抓住这三点，领导者自我提升不再难,13a3e66fc542f29f155a08e3df3fc4ce,1,课程评估
商业模式的六脉神剑（上）,5ccc16c8e5a35c30c21042949149b6b8,1.5,课程评估
商业模式的六脉神剑（下）,fc10faff1e8fed5fadde49b13a9f1793,1.5,课程评估
总经理的五种角色，带对人做对事最重要,14ee3d2fc43ec320a6e9de65633e17bf,1,课程评估
总经理如何激活团队成员，抓住这两点就够了,deb0ddbbd78709c57829c11a1ce7e90e,1.5,课程评估
花了20年，研究无数企业案例，终于找到商业模式成功的基因,bcd1fa4dcf3aa92c2099f037a9436206,0.2,课程评估
在高利润区弯道超车？后来者未必没有机会,fc96927377689d217c5a9b943a00fe46,0.5,课程评估
抓住用户的需求，就抓住了商业模式的命脉,37a331ff6eddc84f71c80e04b0ed03c3,0.5,课程评估
酒香也怕巷子深，分销传播是关键,5d7ff3c3db955e052a2c41e269765cc7,0.5,课程评估
缺少极致的产品，商业模式就成了一张纸,3b5ac317717c378f4dc3800ca57c64ad,0.5,课程评估
从营销到运营，商业模式不能忽视的细节,8c74caaf8889badc59c9ed51ad8808be,0.5,课程评估
思维决定企业未来，经营者更要与时俱进,479ff4375fd9ca322fcd029ec40f3e01,0.5,课程评估
管理机制的制高点，商业模式如何把握？,5805b82bcf28c15fc539ad4038306879,0.5,课程评估
商业模式如何构建竞争壁垒，看完就知道,4b12beaeb0c865e6917d28301f5d269b,0.5,课程评估
卓越领导的五大习惯背后的逻辑，看了就知道,06ba3b8ae393a21f26bf718d1d334860,0.5,课程评估
以身作则，三步提升你的卓越领导力,aaaca1e1124583749951aac56f706a49,0.5,课程评估
共启愿景，领导者如何描绘团队未来,5579ba8f1b3f50f59bfd16fe00572951,0.5,课程评估
挑战现状，领导者如何激发团队斗志,dc7e0f049102fd3065ebe565baa50af7,0.5,课程评估
使众人行，领导者如何实现团队赋能,1f818af46a0c7c7b64fd44c3b1ef871f,0.5,课程评估
激励人心，领导者如何三句话就实现,d01f470cf4fa461c054d16dd7d1b59cd,0.5,课程评估
教练式辅导,c044f77a429d4d6f8430e37b2af55c4f,0.4,课程评估
战略落地四步法：企业战略目标设定,cbb4046bbbf782ecc0eaf88845a5f11d,0.5,课程评估
战略落地四步法：战略目标的分解与固化,f6b29f40912ca478bd48254a64b9b000,0.5,课程评估
战略落地四步法：工作计划编制与分解,020125f89890078421d802ca9591ada2,1,课程评估
战略落地四步法：计划落实与绩效辅导,4e99e0bbab55fa09f3eaafbebb85a0e3,0.5,课程评估
开启领导者的主动人生,896fdc25c25873105ef18b0b14d3ff17,0.5,课程评估
从管理者迈向价值传递者,5b2ad754f5b6f48944ebee6e93601602,0.5,课程评估
主动型领导的路在何方,68bc6283cd2926b7671c2a629f9ae451,1,课程评估
开启主动人生的两大窗口,12c6c1d4663eb6a4b91431ab6a199fa2,1,课程评估
主动型领导三大能力修炼,fe353f0d0e37e6937f748d397d0b6e11,0.2,课程评估
自画像，时代需要怎样的领导者,59a4790143e6cead457b496f732e9063,0.2,课程评估
构建品牌人格的三大思维,891ccfb35fd0e6450d91fd140d418f7b,0.5,课程评估
寻找职业状态的三大路径,7845baf1b55a320b578b0e832f6511ac,1,课程评估
三个支点建立团队底线思维,c578f8f50eb107dc376697539c69edd7,0.5,课程评估
如何创意你的想法,3e363f695bbd1d619d8e6e7aa5db20d2,0.5,课程评估
如何做一个教练式的领导,7ebd1d0aa5d85d23a5787b1af36ead36,0.2,课程评估
让创新落地的方法论,4cc1efb5ea5565de2fa1dcb4cf1cdb3d,1,课程评估
论创新设计思维的十二大特征,09707b66faad7226fd62a5d9386dd00e,1,课程评估
创新设计思维创新案例分享,c03052dc894dfd393f7519fed427c09b,0.2,课程评估
DISC性格魔方概述,30ac1d32d0647bbe26f528d520014eb7,1,课程评估
科学区分各类性格的不同之处,870d3c5a28f567a9e627da79ce7fde6b,0.5,课程评估
各类性格组合的不同特点,68e0f534b2ae56fd681528af0875f75b,1,课程评估
如何应用性格魔方领导自我,12eb8ab15b21f6aecfa4e38fd7b54714,1,课程评估
如何应用性格魔方领导下属,e1f556ace450f355015324d3b9f70a40,0.5,课程评估
如何应用性格魔方领导上司,a1041fed271d57c526a918b4b219e519,0.5,课程评估
问题解决四步法——驭繁为简的技术,98519bfee08cdc1966464d8bf4149efd,1.5,课程评估
多学多用-Leader真功夫,6e506c9d48c38819d5db4068d1533625,1,课程评估
领导者的必备能力,1ba62dddefcde69532d1e9e960f58196,0.5,课程评估
创新思维提升方法,da30409c9b9354f5906de2e2b9318a2c,0.5,课程评估
培养解决问题的能力,014fb9617f46be3dfde8fda56f80541e,0.5,课程评估
收集和分析信息的方法和工具,3b28fae3e5fc24e81f947ebb3696c4e9,0.5,课程评估
如何制定决策（new）,f04e61fbfe4280e8141a6a17718b8a62,0.5,课程评估
如何英明的决策,e51506c3ea5943199233c5edea78a6fc,1,课程评估
策划商业计划书,17bc5865f92a4e535c9b38a9e8a08f14,0.5,课程评估
创造力和创新管理,77ddffac2b169585899bd6b950f39cbc,0.5,课程评估
六步教你解决问题,18a78cb3683a87152eca3e7a622ea1d4,1,课程评估
分析问题的方法和工具,ff38010261727ce7e986fff60286f906,0.5,课程评估
